=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.01.03 20:51:55 =~=~=~=~=~=~=~=~=~=~=~=
unkÿunknown command
Changed active channel to 1
0x8000  2.5000381 V ->  0.0044882 A
0x7fff  2.4999619 V ->  0.0056601 A
0x7ffe  2.4998856 V ->  0.0044882 A
0x7ffd  2.4998093 V ->  0.0048780 A
0x7ffc  2.4997330 V ->  0.0052691 A
0x7ffb  2.4996567 V ->  0.0048780 A
0x7ffa  2.4995804 V ->  0.0037074 A
0x7ff9  2.4995041 V ->  0.0044882 A
0x7ff8  2.4994278 V ->  0.0048780 A
0x7ff7  2.4993515 V ->  0.0037074 A
0x7ff6  2.4992752 V ->  0.0029254 A
0x7ff5  2.4991989 V ->  0.0025344 A
0x7ff4  2.4991226 V ->  0.0033164 A
0x7ff3  2.4990463 V ->  0.0021446 A
0x7ff2  2.4989700 V ->  0.0029254 A
0x7ff1  2.4988937 V ->  0.0033164 A
0x7ff0  2.4988174 V ->  0.0029254 A
0x7fef  2.4987411 V ->  0.0017536 A
0x7fee  2.4986649 V ->  0.0017536 A
0x7fed  2.4985886 V ->  0.0017536 A
0x7fec  2.4985123 V ->  0.0009727 A
0x7feb  2.4984360 V ->  0.0013638 A
0x7fea  2.4983597 V ->  0.0013638 A
0x7fe9  2.4982834 V ->  0.0017536 A
0x7fe8  2.4982071 V ->  0.0009727 A
0x7fe7  2.4981308 V ->  0.0005829 A
0x7fe6  2.4980545 V ->  0.0009727 A
0x7fe5  2.4979782 V -> -0.0001991 A
Zero current voltage found
0000 -> -6.2014661 A
0500 -> -6.0038066 A
1000 -> -5.4670796 A
1500 -> -5.2213726 A
2000 -> -4.6858187 A
2500 -> -4.4397206 A
3000 -> -3.9037752 A
3500 -> -3.6576772 A
4000 -> -3.1217313 A
4500 -> -2.8783684 A
5000 -> -2.3400795 A
5500 -> -2.0955431 A
6000 -> -1.5584254 A
6500 -> -1.3127196 A
7000 -> -0.7771647 A
7500 -> -0.5326295 A
7fe6 -> -0.0009799 A
8500 ->  0.2470708 A
9000 ->  0.7798910 A
9500 ->  1.0228634 A
a000 ->  1.5572476 A
a500 ->  1.8002176 A
b000 ->  2.3349929 A
b500 ->  2.5775743 A
c000 ->  3.1103957 A
c500 ->  3.3537602 A
d000 ->  3.8873601 A
d500 ->  4.1322851 A
e000 ->  4.6654963 A
e500 ->  4.9092507 A
f000 ->  5.4428515 A
f500 ->  5.6873870 A
ffff ->  6.1768484 A
0x56f5 -1.9999835 0x68fe -2.0006204
0x56f6 -1.9997928 0x68fd -2.0010114
0x56f7 -1.9996021 0x68fd -2.0010114
0x56f8 -1.9994112 0x68ff -2.0002294
0x56f9 -1.9992205 0x68ff -2.0002294
0x56fa -1.9990298 0x6900 -1.9998395
0x56fb -1.9988390 0x6900 -1.9998395
0x56fc -1.9986483 0x6900 -1.9998395
0x56fd -1.9984576 0x68ff -2.0002294
0x56fe -1.9982668 0x6902 -1.9990575
0x56ff -1.9980761 0x6902 -1.9990575
0x5700 -1.9978853 0x6903 -1.9986677
0x5701 -1.9976946 0x6903 -1.9986677
