quantity,part type,manufacturer part name,digikey part id
1,4-channel 16-bit DAC,DAC80504RTER,296-51043-1-ND
1,4-channel 16-bit ADC,ADS8684IDBTR,296-39875-1-ND
1,SPI isolator,Analog Devices ADUM4150BRIZ,ADUM4150BRIZ-ND
1,LDO 5V TO220,L7805CV,497-1443-5-ND
1,LDO 12V SOIC12,L78L12ABD-TR,497-7767-1-ND
4,Heat sink,Aavid 530102B00150G,HS343-ND
4,Heat sink clip,Aavid 115000F00000G,115000F00000G-ND
4,Coil connector,Molex 0026013115,WM13112-ND
4,Coil connector plug,Molex 0039012040,WM3701-ND
1,Power supply connector,Molex 0039301102,WM21367-ND
1,Power supply connector plug,Molex 0039012100,WM3704-ND
16,Contact pins,Molex 0039000047,WM2503-ND
2,RJ45 connector,54602-908LF,609-1046-ND
4,Shunt resistor,PWR163S-25-R200FE,PWR163S-25-R200FECT-ND
8,Power OP amp,TI OPA549T,OPA549T-ND
1,2.5V reference,TI REF5025AIDR,296-39165-1-ND
4,Differential OP amp,TI INA149AIDR,296-30028-2-ND
1,Inverter,MC74HC1G04DTT1G,MC74HC1G04DTT1GOSCT-ND
3,Elko,UCD1V101MCL6GS,493-6420-1-ND
4,Tantal Elko,T495C226K025ATE275,399-18831-1-ND
50,Capacitor 10 uF,GRM21BR6YA106ME43L,490-10515-1-ND
4,Hex standoff,Hex standoff M4 Nylon 12mm,36-25522-ND
4,Hex nut,Hexagon nut M4 Nylon,732-12638-ND
